               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2300000000000000E+02        -5.5295999999999999E+01                   0                    0                    0                    0                    0                    0
                   2               383865         1.0000000000000001E-01         4.2300000000000000E+02        -8.3522940000001017E+02                 562                  112                    0                 -281                 -112                    0
                   3               592768         2.0000000000000001E-01         4.2300000000000000E+02        -1.4771138000000217E+03                1024                  203                    0                 -517                 -213                   10
                   4               760879         3.0000000000000004E-01         4.2300000000000000E+02        -1.9774214000000306E+03                1397                  266                    0                 -712                 -293                   27
                   5               954534         4.0000000000000002E-01         4.2300000000000000E+02        -2.5555845999999574E+03                1813                  350                    0                 -932                 -401                   51
                   6              1114611         5.0000000000000000E-01         4.2300000000000000E+02        -3.0522893999998814E+03                2187                  409                    0                -1132                 -486                   77
                   7              1258801         5.9999999999999998E-01         4.2300000000000000E+02        -3.4470445999998174E+03                2503                  441                    0                -1315                 -568                  127
                   8              1419277         6.9999999999999996E-01         4.2300000000000000E+02        -3.8125651999997617E+03                2776                  488                    0                -1479                 -670                  182
                   9              1564281         7.9999999999999993E-01         4.2300000000000000E+02        -4.1527143999998125E+03                3047                  519                    0                -1643                 -758                  239
                  10              1673356         8.9999999999999991E-01         4.2300000000000000E+02        -4.4297523999998666E+03                3262                  547                    0                -1778                 -841                  294
                  11              1785564         9.9999999999999989E-01         4.2300000000000000E+02        -4.6430043999999089E+03                3452                  552                    0                -1910                 -920                  368
                  12              1906585         1.0999999999999999E+00         4.2300000000000000E+02        -4.8684295999999567E+03                3653                  556                    1                -2056                -1013                  457
                  13              2009919         1.2000000000000000E+00         4.2300000000000000E+02        -4.9839103999999879E+03                3792                  533                    0                -2168                -1077                  544
                  14              2138090         1.3000000000000000E+00         4.2300000000000000E+02        -5.1459504000000270E+03                3962                  518                    0                -2297                -1150                  632
                  15              2263636         1.4000000000000001E+00         4.2300000000000000E+02        -5.2685572000000639E+03                4101                  498                    0                -2411                -1219                  721
                  16              2380954         1.5000000000000002E+00         4.2300000000000000E+02        -5.4144986000000945E+03                4243                  493                    0                -2524                -1298                  805
                  17              2498097         1.6000000000000003E+00         4.2300000000000000E+02        -5.5440806000001285E+03                4378                  481                    0                -2635                -1373                  892
                  18              2609624         1.7000000000000004E+00         4.2300000000000000E+02        -5.6871612000001596E+03                4511                  480                    0                -2748                -1465                  985
                  19              2722062         1.8000000000000005E+00         4.2300000000000000E+02        -5.7607642000001670E+03                4616                  457                    0                -2846                -1533                 1076
